id,year,bbl,organization_name,dbn,short_dbn,project_title,project_type,organization_address,requested_amt,requested_amt_c,funding,funding_c,lat,lng,CounDist,BoroCD
36,2014,1000327501,"Department of Transportation, NYCDOT",,,Ninth Avenue/Gansevoort Plaza Reconstruction Project,City Facility,"55 Water Street,","* 650,000.00",650000,0,0,40.7036,-74.00978,1,101
35,2014,1000327501,"Department of Transportation, NYCDOT",,,Flatiron Plaza Construction Project,City Facility,"55 Water Street,","$1, 000,000.00",1000000,0,0,40.7036,-74.00978,1,101
138,2014,1000340037,The New York City Police Museum,,,Boiler Project,Cultural Organization,100 Old Slip,"* 500,000.00",500000,0,0,40.70328,-74.00804,1,101
63,2014,1000420031,"Lower Eastside Service Center, Inc.",,,Electronic Health Record Upgrade,Cultural Organization,"80 Maiden Lane, 2nd Fl.","* 150,000.00",150000,159000,159000,40.70712,-74.00733,1,101
737,2018,1000510015,Leadership and Public Service High School,02M425,M425,Library Upgrade,Public School,"90 Trinity Place, 13th Floor, New York, NY 10006",,,100000,100000,40.70873,-74.01233,1,101
719,2018,1000520001,High School of Economics and Finance,02M489,M489,Classroom Technology Upgrades,Public School,"100 Trinity Place, New York, NY 10006",,,50000,50000,40.7092,-74.01202,1,101
665,2018,1000557501,"China Institute in America, Inc.",,,"Ground Floor Renovations, 100 Washington",Cultural Organization,100 Washington Street,,,100000,100000,40.70849,-74.01429,1,101
616,2017,1000680036,"The Educational Alliance, Inc.",,,IT Upgrade,Social Services Organization,"100 William Street, New York, NY 10038",,,100000,100000,40.7085,-74.00748,1,101
1168,2019,1000680036,"The Educational Alliance, Inc.",,,IT Upgrade Phase III,Social Services Organization,"100 William Street New York, NY 10038",,,"$64,000",64000,40.70834,-74.00718,1,101
1167,2019,1000680036,"The Educational Alliance, Inc.",,,IT Upgrade Phase III,Social Services Organization,"100 William Street New York, NY 10038",,,"$64,000",64000,40.70834,-74.00718,1,101
740,2018,1000707501,"Lower Manhattan Cultural Council, Inc.",,,LMCCs Renovation of Building 110 at GI,Cultural Organization,"125 Maiden Lane, 2nd Floor,",,,200000,200000,40.7064,-74.00634,1,101
603,2017,1000730008,Seaport Museum New York,,,Wavertree Public Access and Education,Cultural Organization,"Docked at Pier 16 East River, New York, NY 10038",,,500000,500000,40.70532,-74.00273,1,101
1146,2019,1000730008,Seaport Museum New York,,,Restoration of Wavertree Ship Phase II,Cultural Organization,"Docked at Pier 16 East River New York, NY 10038",,,"$167,000",167000,40.70533,-74.00272,1,101
1145,2019,1000730008,Seaport Museum New York,,,Restoration of Wavertree Ship Phase II,Cultural Organization,"Docked at Pier 16 East River New York, NY 10038",,,"$167,000",167000,40.70533,-74.00272,1,101
168,2015,1000730028,East River Blueway,,,East River Blueway Renovations,Park,"Brooklyn Bridge Beach, Dover Street and FDR Drive, New York, NY 10038",,,"$2,000,000*",2000000,40.70752,-73.99864,,
1411,2020,1000740001,Seaport Museum New York,,,Historic Schermerhorn Row Accessibility,Cultural Organization,"12 Fulton Street New York, NY 10038",,,"$200,000",200000,40.7066,-74.00373,1,101
126,2014,1000740001,South Street Seaport Museum's,,,Wavertree Ship Renovation/Construction Project,Cultural Organization,12 Fulton Street,"* 250,000.00",250000,0,0,40.70663,-74.0035,1,101
125,2014,1000740001,South Street Seaport Museum's,,,Freight Elevator Replacement Project,Cultural Organization,12 Fulton Street,"* 300,000.00",300000,300000,300000,40.70663,-74.0035,1,101
856,2018,1000740001,South Street Seaport Museum's,,,"Stabilization & Restoration of
Ambrose",Cultural Organization,"12 Fulton Street,
10038",,,500000,500000,40.70663,-74.0035,1,101
1328,2020,1000767502,NYC Center for Aerospace and Applied Mathematics,40M04W,M04W,Technology Upgrade,Public School,"99 John St 
New York, NY 10038",,,"$75,000",75000,40.70832,-74.006,1,101
253,2015,1000780004,Urban Justice Center,,,Initial Outfitting for New Office,Social Services Organization,"123 William Street, New York, NY 10038",,,"$100,000",100000,40.70911,-74.00689,1,101
474,2017,1000940025,"Council on the Environment, Inc. d/b/a GrowNYC",,,Greenmarket Co. Van,Social Services Organization,(Will be parked inside the warehouse in the Bronx),,,42000,42000,40.71018,-74.00318,1,101
1436,2020,1001000001,The New York and Presbyterian Hospital,,,Endoscopic Ultrasound System,Hospital,"170 William Street New York, NY 10038",,,"$227,000",227000,40.71029,-74.00496,1,101
416,2016,1001007502,Spruce Street School,02M397,M397,Techology Upgrades,Public School,"12 Spruce St, New York, NY 10038",,,100000,100000,40.71131,-74.00547,1,101
859,2018,1001007502,Spruce Street School,02M397,M397,Classroom Technology Upgrades,Public School,"12 Spruce Street, New York, NY, 10038",,,100000,100000,40.71131,-74.00547,1,101
457,2017,1001110160,75 Morton Street School - I.S. 323 & P94,02M297,M297,Experimental Roof Garden Ecosystem,Public School,"c/o P.S. 126MAT, 80 Catherine Street",,,100000,100000,40.71052,-73.99684,1,103
153,2015,1001110160,Al Smith Recreation Center,,,"Al Smith Recreation Center
Renovations",Park,"80 Catherine Street, New York, NY 10038",,,"$200,000",200000,40.71073,-73.99663,1,103
369,2016,1001110160,P.S. 126 - Manhattan Academy of Technology,02M126,M126,Technology Upgrades,Public School,"80 Catherine St, New York, NY 10038",,,100000,100000,40.71073,-73.99663,1,103
555,2017,1001110160,P.S. 126 - Manhattan Academy of Technology,02M126,M126,Gym/Auditorium Renovation,Public School,80 Catherine Street,,,200000,200000,40.71073,-73.99663,1,103
799,2018,1001110160,P.S. 126 - Manhattan Academy of Technology,02M126,M126,Bathroom Renovations (8),Public School,"80 Catherine St., New York, NY
10039",,,100000,100000,40.71073,-73.99663,1,103
1359,2020,1001110160,P.S. 126 - Manhattan Academy of Technology,02M126,M126,Art Room Upgrade,Public School,"80 Catherine Street New York, NY 10038",,,"$65,000",65000,40.71059,-73.997,1,103
343,2016,1001130100,Manhattan Early College School for Advertising,02M280,M280,Technology Upgrades,Public School,"411 Pearl St, New York, NY 10038",,,100000,100000,40.71144,-74.00085,1,101
516,2017,1001130100,Manhattan Early College School for Advertising,02M280,M280,Classroom Technology Upgrade,Public School,411 Pearl Street,,,100000,100000,40.71144,-74.00085,1,101
753,2018,1001130100,Manhattan Early College School for Advertising,02M280,M280,Fitness Center Renovation,Public School,"411 Pearl Street,
NY, NY 10038",,,150000,150000,40.71144,-74.00085,1,101
1022,2019,1001130100,Manhattan Early College School for Advertising,02M280,M280,Technology Upgrades,Public School,"411 Pearl Street 
New York, NY 10038",,,"$100,000",100000,40.71116,-74.00165,1,101
1310,2020,1001130100,Murry Bergtraum High School for Business Careers (Campas),02M520,M520,Water Fountains,Public School,"411 Pearl Street Room 436 
New York, NY 10038",,,"$150,000",150000,40.71116,-74.00165,1,101
241,2015,1001130100,Syracuse University Project Advance Academy (SUPA) at Murry Bergtraum High School,02M520,M520,Purchase of Mobile STEM Lab,Public School,"411 Pearl Street, New York, NY 10038",,,"$65,000",65000,40.71144,-74.00085,1,101
633,2017,1001130100,The Urban Assembly Maker Academy,02M282,M282,Classroom Technology Upgrade,Public School,"411 Pearl Street, 4th Floor",,,100000,100000,40.71144,-74.00085,1,101
1186,2019,1001130100,The Urban Assembly Maker Academy,02M282,M282,Technology Upgrades,Public School,"411 Pearl Street New York, NY 10038",,,"$100,000",100000,40.71116,-74.00165,1,101
634,2017,1001130100,The Urban Assembly School for Emergency Management,02M135,M135,Classroom Technology Upgrade,Public School,"411 Pearl Street, Room B33",,,100000,100000,40.71144,-74.00085,1,101
268,2016,1001240004,Animal Care Centers of NYC,,,Ultrasound technology system,Social Services Organization,"11 Park Pl #805, New York, NY 10007",,,35000,35000,40.71283,-74.0083,1,101
913,2019,1001240004,Animal Care Centers of NYC,,,Technology Upgrades,Social Services Organization,"11 Park Place New York, NY 10007",,,"$40,000",40000,40.71316,-74.00823,1,101
914,2019,1001240004,Animal Care Centers of NYC,,,Animal Care Centers of NYC Technology Upgrade,Social Services Organization,"326 East 110th Street, New York, NY 10029 and 11 Park Place, Suite 805 New York, NY 10007",,,"$40,000",40000,40.71316,-74.00823,1,101
1068,2019,1001240024,NYCHA,,,Vehicle Purchase,Housing,"250 Broadway New York, NY 10007",,,"$160,000",160000,40.71298,-74.00784,1,101
48,2014,1001370035,"Friends of Bogardus Garden, Inc.",,,Bogardus Capital Improvement Project,Park,"90 West Broadway, #4","* 300,000.00",300000,300000,300000,40.71528,-74.00944,1,101
28,2014,1001420050,CUNY Borough of Manhattan Community College,,,"Instructional Spaces Upgrade, HVAC Upgrades to IT Closets, Replacement of Rooftop AC Unit",College,199 Chambers Street,"$1, 075, 000.00",1075000,750000,750000,40.71684,-74.01212,1,101
283,2016,1001420050,CUNY Borough of Manhattan Community College,,,Perimeter Security Lighting,College,"199 Chambers St, New York, NY 10007",,,150000,150000,40.71684,-74.01212,1,101
476,2017,1001420050,CUNY Borough of Manhattan Community College,,,LED Lighting,College,199 Chambers Street,,,225000,225000,40.71684,-74.01212,1,101
677,2018,1001420050,CUNY Borough of Manhattan Community College,,,LED Lighting Conversion in Public Areas-Borough of Manhattan Community College,College,"199 Chambers Street, New York, NY 10007",,,500000,500000,40.71684,-74.01212,1,101
939,2019,1001420050,CUNY Borough of Manhattan Community College,,,BMCC Early Childhood Center HVAC Upgrades,College,"199 Chambers Street, New York, NY 10007",,,"$300,000",300000,40.71885,-74.01185,1,101
940,2019,1001420050,CUNY Borough of Manhattan Community College,,,BMCC Early Childhood Center HVAC Upgrades,College,"199 Chambers St. New York, NY 10007",,,"$300,000",300000,40.71885,-74.01185,1,101
1247,2020,1001420050,CUNY Borough of Manhattan Community College,,,Tribeca Performing Arts Center Theater 1 and Theater 2 Lighting Upgrade,College,"199 Chambers Street New York, NY 10007",,,"$200,000",200000,40.71885,-74.01185,1,101
1304,2020,1001427502,"Manhattan Youth Recreation and Resources, Inc.",,,Energy-Efficient Controls Modernization,Social Services Organization,"120 Warren Street New York, NY 10007",,,"$103,000",103000,40.71656,-74.01259,1,101
758,2018,1001500031,"MFY Legal Services, Inc.",,,MFY Infrastructure Network Project,Social Services Organization,299 Broadway,,,141000,141000,40.71505,-74.00559,1,101
171,2015,1001530001,"Gina Gibney Dance, Inc.",,,Lighting System for Lab at 280 Broadway,Cultural Organization,"280 Broadway, New York, NY 10007",,,"$49,000",49000,40.71442,-74.00609,1,101
489,2017,1001530001,"Gina Gibney Dance, Inc.",,,280 Broadway Smart Studios,Cultural Organization,"280 Broadway, New York, NY 10007",,,120000,120000,40.71442,-74.00609,1,101
976,2019,1001530001,"Gina Gibney Dance, Inc.",,,Studio Y Lighting System,Cultural Organization,"280 Broadway New York, NY 10007",,,"$150,000",150000,40.71421,-74.00562,1,101
977,2019,1001530001,"Gina Gibney Dance, Inc.",,,Studio Y Lighting System,Cultural Organization,"280 Broadway New York, NY 10007",,,"$150,000",150000,40.71421,-74.00562,1,101
34,2014,1001680032,"Department of Sanitation, DSNY",,,DSNY Mobile Command Center,City Facility,"125 Worth Street, Rm. 728","* 350,000.00",350000,0,0,40.71543,-74.00267,1,101
18,2014,1001700006,Center for Alternative Sentencing and Employment Services,,,CASES Harlem Location Initial Outfitting,Social Services Organization,"346 Broadway, 3rd Fl.","* 85,670.00",85670,0,0,40.7167,-74.00416,1,101
274,2016,1001700020,Center for Alternative Sentencing and Employment Services,,,Program Vans,Park,101-117 Worth Street,,,36000,36000,40.71605,-74.00402,1,101
133,2014,1001750019,The Flea Theater,,,Building Renovation/Construction Project,Cultural Organization,41 White Street,"* 500,000.00",500000,500000,500000,40.71866,-74.00445,1,101
991,2019,1001907505,Hudson River Park Trust,,,Restoration of Pier 25 Playground,Park,"Pier 25, N. Moore Street",,,"$250,000",250000,40.72,-74.00714,1,101
919,2019,1001950001,Battery Dance Corporation,,,Increasing the Battery Dance Festival Audience from Out of State,Cultural Organization,"380 Broadway, 5th Floor New York, NY",,,"$2,000.00",2000,40.71793,-74.00258,1,101
685,2018,1001970001,"Downtown Community Television Center, Inc.",,,DCTV Moveable Studio Lighting System,Cultural Organization,"DCTV 87 Lafayette Street, 10013",,,125000,125000,40.71732,-74.00154,1,101
955,2019,1001970001,"Downtown Community Television Center, Inc.",,,4K Digital Editing+Playback System,Cultural Organization,"87 Lafayette Street New York, NY 10013",,,"$100,000",100000,40.7173,-74.00116,1,101
956,2019,1001970001,"Downtown Community Television Center, Inc.",,,4K Digital Editing+Playback System,Cultural Organization,"87 Lafayette Street New York, NY 10013",,,"$100,000",100000,40.7173,-74.00116,1,101
1252,2020,1001970001,"Downtown Community Television Center, Inc.",,,Moveable Screening Projection System,Cultural Organization,"87 Lafayette Street New York, NY 10013",,,"$75,000",75000,40.7173,-74.00116,1,101
19,2014,1002000001,"Chinatown Manpower Project, Inc.",,,Renovation of  infrastructure and interior space Project,Cultural Organization,"70 Mulberry Street, 3rd Fl.","* 272,500.00",272500,273000,273000,40.71609,-73.9992,1,103
1311,2020,1002000001,Museum of Chinese in the Americas,,,Building Acquisition and Renovation,Cultural Organization,"70 Mulberry Street New York, NY 10013",,,"$150,000",150000,40.71604,-73.99894,1,103
1014,2019,1002290020,Leslie-Lohman Museum of Gay and Lesbian Art,,,Leslie-Lohman Museum Third Annual Block Party: Celebrating QueerPower and LGBTQ Art in NYC,Cultural Organization,"26 Wooster Street New York, NY New York",,,"$2,000.00",2000,40.7216,-74.00304,1,102
763,2018,1002340017,Museum of Chinese in the Americas,,,Recording Studio - A/V System,Cultural Organization,"215 Centre Street,
10013",,,69000,69000,40.71938,-73.99887,1,102
1033,2019,1002340017,Museum of Chinese in the Americas,,,MOCA Building Acquisition,Cultural Organization,"215 Centre Street New York, NY 10013",,,"$50,000",50000,40.71945,-73.99908,1,102
1034,2019,1002340017,Museum of Chinese in the Americas,,,MOCA Building Acquisition,Cultural Organization,215 Centre Street New York NY 10013,,,"$50,000",50000,40.71945,-73.99908,1,102
371,2016,1002360038,P.S. 130 Hernando De Soto,02M130,M130,Resurfacing Play Roof Flooring,Public School,"143 Baxter St, New York, NY 10013",,,125000,125000,40.7189,-73.99844,1,102
800,2018,1002360038,P.S. 130 Hernando De Soto,02M130,M130,"Auditorium Upgrade -
Audio/Visual/Lighting/T echnology",Public School,"143 Baxter St, New York, NY 10013",,,150000,150000,40.7189,-73.99844,1,102
1099,2019,1002360038,P.S. 130 Hernando De Soto,02M130,M130,Technology Upgrades,Public School,"143 Baxter St, New York, NY 10013",,,"$100,000",100000,40.71876,-73.99832,1,102
226,2015,1002410013,Pier 42,,,Pier 42 Park Construction,Park,East River Bikeway near Jackson St.,,,"$250,000",250000,40.71045,-73.98071,2,103
571,2017,1002450007,P.S. 184M - Shuang Wen School,01M184,M184,Classroom Technology Upgrade,Public School,327 Cherry Street,,,125000,125000,40.71155,-73.98654,1,103
816,2018,1002450007,P.S. 184M - Shuang Wen School,01M184,M184,Electrical upgrade,Public School,327 Cherry Street,,,200000,200000,40.71155,-73.98654,1,103
638,2017,1002590044,University Neighborhood High School,01M448,M448,Classroom Technology Upgrade,Public School,200 Monroe Street,,,100000,100000,40.7124,-73.9845,1,103
1451,2020,1002590044,University Neighborhood High School,01M448,M448,Bathroom Upgrade,Public School,"200 Monroe Street New York, NY 10002",,,"$50,000",50000,40.71226,-73.98398,1,103
900,2018,1002600075,Vladeck Houses,,,Playground upgrades,Housing,"356 Madison Street, New York
NY 10002",,,500000,500000,40.71339,-73.98217,2,103
1206,2019,1002600075,Vladeck Houses,,,Playground,Housing,"356 Madison St, New York, NY 10002",,,"$100,000",100000,40.7127,-73.98211,2,103
1205,2019,1002600075,Vladeck Houses,,,Playground Renovation,Housing,"356 Madison Street, New York, NY 10002",,,"$100,000",100000,40.71322,-73.98188,2,103
87,2014,1002620025,"Outstanding Renewal Enterprises, Inc. (Lower East Side Ecology Center)",,,East River Park Constructed Wetland,Park,P.O. Box 20488,"* 500,000.00",500000,0,0,40.71308,-73.97702,2,103
210,2015,1002620025,"Outstanding Renewal Enterprises, Inc. (Lower East Side Ecology Center)",,,East River Park Constructed Wetland,Park,"Grand Street and E River Promendade, New York, NY 10002",,,"$100,000",100000,40.71308,-73.97702,2,103
706,2018,1002670001,Gouverneur Gardens Housing Corporation,,,Tank-less Heaters,Housing,"305 Madison Street, New York, NY 10002",,,130000,130000,40.71313,-73.98464,1,103
1263,2020,1002670001,Gouverneur Gardens Housing Corporation,,,Lobby Doors & Apartment Fuse Box Upgrade,Housing,"305 Madison Street New York, NY 10002",,,"$200,000",200000,40.71337,-73.98472,1,103
1334,2020,1002690041,Orchard Collegiate Academy (Corelears Complex),01M292,M292,Playground Upgrade,Public School,"220 Henry Street  New York, NY 10014",,,"$75,000",75000,40.71334,-73.98645,1,103
305,2016,1002700032,Gouverneur Health,,,"OCT Opthalmology System
Replacement",Hospital,"227 Madison St, New York, NY 10002",,,40000,40000,40.71278,-73.98842,1,103
707,2018,1002700032,Gouverneur Health,,,Vehicle Replacement,Hospital,"227 Madison Street, New York, NY 10002",,,100000,100000,40.71278,-73.98842,1,103
1054,2019,1002700032,"NYC Health + Hospitals / Gotham, Gouverneur",,,Portable X-Ray Machine Replacement,Hospital,"227 Madison Street, New York, NY 10002",,,"$75,000",75000,40.71319,-73.98783,1,103
1055,2019,1002700032,"NYC Health + Hospitals / Gotham, Gouverneur",,,X-Ray Machine Replacement,Hospital,"227 Madison Street, New York, NY 10002",,,$0,0,40.71319,-73.98783,1,103
1056,2019,1002700032,"NYC Health + Hospitals / Gotham, Gouverneur",,,Portable X-Ray Machine Replacement,Hospital,"227 Madison Street, New York, NY 10002",,,"$75,000",75000,40.71319,-73.98783,1,103
1057,2019,1002700032,"NYC Health + Hospitals / Gotham, Gouverneur",,,DXA Unit Replacement,Hospital,"227 Madison Street, New York, NY, 10002",,,$0,0,40.71319,-73.98783,1,103
1058,2019,1002700032,"NYC Health + Hospitals / Gotham, Gouverneur",,,Portable X-Ray Machine Replacement,Hospital,"227 Madison Street, New York, NY 1002",,,$0,0,40.71319,-73.98783,1,103
1329,2020,1002700032,"NYC Health + Hospitals / Gotham, Gouverneur",,,Mammography Machine Replacement (3D Tommo),Hospital,"227 Madison Street New York, NY 10002",,,"$297,000",297000,40.71319,-73.98783,1,103
1077,2019,1002730001,P.S. 002 Meyer London,02M002,M002,Computer Lab Upgrades,Public School,"122 Henry Street New York, NY 10002",,,"$85,000",85000,40.71294,-73.99196,1,103
1335,2020,1002730001,P.S. 002 Meyer London,02M002,M002,Auditorium Curtains,Public School,"122 Henry Street New York, NY 10002",,,"$55,000",55000,40.71294,-73.99196,1,103
780,2018,1002790040,P.S. 001 Alfred E. Smith,02M001,M001,Classroom Technology Upgrades,Public School,"8 Henry Street, New York, New York, 10038",,,100000,100000,40.71276,-73.99749,1,103
1076,2019,1002790040,P.S. 001 Alfred E. Smith,02M001,M001,Technology Upgrades,Public School,"8 Henry Street New York, NY 10038",,,"$60,000",60000,40.71256,-73.99748,1,103
496,2017,1002830015,"Immigrant Social Services, Inc.",,,ISS Computer System,Social Services Organization,"137 Henry Street, New York NY 10002",,,77000,77000,40.71333,-73.99083,1,103
691,2018,1002850029,"Educational Alliance, Inc.",,,IT Upgrade Stage 2,Social Services Organization,"197 East Broadway, 10002",,,120000,120000,40.71422,-73.98822,1,103
